ID_NLS;RIC;INDIR_ORIG;DENOM_IMPRES;INSEGNA;INIZIO_ATT;geo_y;geo_x;location
7038;Storica Attività;PIAZZA VENTICINQUE APRILE,12;Ottica Artioli s.r.l.;Ottica Artioli;1953;9.18738576472991;45.48099607107574;(45.48099607107574, 9.18738576472991)
6973;Storica Attività;PIAZZA DUOMO,19;Verga srl;Gioielli Orologi e Argenti Verga;1880;9.188723157603274;45.464721915322755;(45.464721915322755, 9.188723157603274)
6342;Storica Attività;VIA MAZZINI,2;F.lli Freni srl Pasticceria Siciliana;Fratelli Freni - Pasticceria Siciliana;1914;9.188041119782454;45.463376416606316;(45.463376416606316, 9.188041119782454)
6254;Negozio storico;C.SO DI PORTA ROMANA,74;Ottica Chierichetti S.r.l.;Ottica Arnaldo Chierichetti;1914;9.194586174391869;45.45666284628005;(45.45666284628005, 9.194586174391869)
7443;Storica Attività;VIA LAZZARO PAPI,12;SEGANTI ARREDA S.A.S. DI SEGANTI GIANCARLO;SEGANTI ARREDA;1964;9.20722381684501;45.45068313213725;(45.45068313213725, 9.20722381684501)
6387;Storica Attività;PIAZZA DUOMO,21;Maior Stile sas;Maior Stile e Jolanda Pica - Missoni Sport;1925;9.189488847745894;45.46471909950224;(45.46471909950224, 9.189488847745894)
7209;Storica Attività;FORO BUONAPARTE,53;Forobonaparte s.r.l.;Buffetti;1852;9.178477065366398;45.46778205535225;(45.46778205535225, 9.178477065366398)
6313;Storica Attività;LARGO SETTIMIO SEVERO,1;ditta individuale;Panificio Bollani;1930;9.162411360408921;45.46597931745026;(45.46597931745026, 9.162411360408921)
6208;Locale storico;VIA BAGUTTA,14;Trattoria Bagutta f.lli Pepori srl;Trattoria Bagutta;1924;9.196454298128499;45.46776129205269;(45.46776129205269, 9.196454298128499)
6765;Storica Attività;P.ZA LIMA,3;Gioielleria del Corso srl;Gioielleria del Corso;1958;9.210985915535945;45.480578759666834;(45.480578759666834, 9.210985915535945)
6769;Storica Attività;ALZAIA NAVIGLIO GRANDE,58;Martin Luciano e Figli snc;Martin Luciano e Figli - Abbigliamento;1938;9.170363065239199;45.45092786936141;(45.45092786936141, 9.170363065239199)
6346;Storica Attività;C.SO VITTORIO EMANUELE II,37/B;ditta individuale;Fantasie di Moda;1954;9.196904907056801;45.46595986434823;(45.46595986434823, 9.196904907056801)
6207;Insegna storica e di tradizione;VIA UGO FOSCOLO,5;Ristorante Savini S.r.l.;Savini;1867;9.190631383459381;45.465654195500626;(45.465654195500626, 9.190631383459381)
7362;Storica Attività;VIA FRANCESCO CHERUBINI,3;BUZZO GIOIELLI DI BUZZO CINZIA MARIA;Buzzo Gioielli;1961;9.159262498718823;45.466944250069034;(45.466944250069034, 9.159262498718823)
7436;Storica Attività;VIA RODOLFO CARABELLI,0001;PANETTERIA ANFOSSI SNC DI GIORGIO ANFOSSI E C.;PASTICCERIA ANFOSSI;1961;9.2210028369259;45.45023466979072;(45.45023466979072, 9.2210028369259)
6413;Storica Attività;VIA BARTOLOMEO EUSTACHI,0008;PINUCCIA S.A.S. DI CORCELLA ANTONIETTA & C.;Pinuccia parrucchiere per signora;1954;9.214787204882807;45.47430005441343;(45.47430005441343, 9.214787204882807)
7206;Storica Attività;VIA BELFIORE,14;Mambriani Casalinghi di Vertemati Alfredo;Mambriani Casalinghi;1920;9.157679472577646;45.46756316263496;(45.46756316263496, 9.157679472577646)
6757;Storica Attività;VIA PORPORA,5;G. Preattoni & C. sas;Preattoni Arrotino;1911;9.218722572814652;45.48610105711434;(45.48610105711434, 9.218722572814652)
6402;Storica Attività;VIA PALLADIO,2;Antico Forno srl;Panificio Lorenzo Belverato;1925;9.198141956113556;45.448459456316506;(45.448459456316506, 9.198141956113556)
6401;Storica Attività;VIA TOLSTOI,45;ditta individuale;Pane Da Tre Generazioni;1950;9.149996976208802;45.45252056043403;(45.45252056043403, 9.149996976208802)
6305;Storica Attività;VIA DANTE,15;ditta individuale;Antica Osteria Milanese;1950;9.18295011950613;45.46703716940453;(45.46703716940453, 9.18295011950613)
6255;Negozio storico;VIA BORGONUOVO,3;Il Polifilo Libri Rari sas;Il Polifilo Libri Rari;1941;9.191699661580149;45.47048059036511;(45.47048059036511, 9.191699661580149)
6375;Locale storico;VIA FATEBENEFRATELLI,30;La Tavernetta S.a.s. di Niccoli Elio & C.;La Tavernetta da Elio;1957;9.193500786443344;45.472572794506696;(45.472572794506696, 9.193500786443344)
6202;Negozio storico;VIA VALPETROSA,1;Fratelli Chiaravalli S.r.l.;Gioielleria Chiaravalli;1915;9.1853489508355;45.462545550838456;(45.462545550838456, 9.1853489508355)
7219;Storica Attività;VIA PISACANE,40;Trattoria Bianucci S.A.S. di Bianucci fausto Fabrizio & C.;Mangiafuoco Bracerie;1951;9.211112800784415;45.47318650077746;(45.47318650077746, 9.211112800784415)
6365;Storica Attività;VIA CICERI VISCONTI,2;Gioielleria Mario Sessa snc;Gioielleria Mario Sessa di Fabrizio Sessa e Daniela Ciaravolo;1955;9.220208385350421;45.45515873265027;(45.45515873265027, 9.220208385350421)
6353;Storica Attività;VIA DELLA SPIGA,9;FMS trading srl;Scavia Gioielleria;1923;9.197740818870525;45.469360419223804;(45.469360419223804, 9.197740818870525)
7244;Locale storico;VIA SAN MAURILIO,7;San Maurilio S.a.S. di Giacomo Bertacchi & C.;Ronchi78;1934;9.184759112147406;45.461728063632826;(45.461728063632826, 9.184759112147406)
6257;Negozio storico;FORO BONAPARTE,48;Pecorini Rappresentanze Editoriali S.r.l.;Pecorini Libreria;1955;9.181923800635474;45.47184581926032;(45.47184581926032, 9.181923800635474)
7589;Storica Attività;VIA SANTA CROCE,1;BRIGO NICOLETTA;Macelleria Brigo;1964;9.183669858331005;45.456175079929245;(45.456175079929245, 9.183669858331005)
6258;Storica Attività;VIA HOEPLI,3;Ravizza Sport S.r.l.;Ravizza Sport;1871;9.192142014746652;45.4662058767507;(45.4662058767507, 9.192142014746652)
6378;Storica Attività;VIA TURATI,26;Libreria Degli Uffici di Turri & C. S.a.s.;Libreria Degli Uffici Turri;1936;9.19496757746801;45.476069012901355;(45.476069012901355, 9.19496757746801)
6855;Storica Attività;PIAZZALE MEDAGLIE D'ORO,3;La Tramite S.r.l.;Libreria La Tramite;1946;9.202119828325852;45.452082262885;(45.452082262885, 9.202119828325852)
6215;Negozio storico;PIAZZA RISORGIMENTO,3;Antica Cartoleria Novecento di Alberta Capponi;Antica Cartoleria Novecento;1899;9.210208844296208;45.46810089723674;(45.46810089723674, 9.210208844296208)
6372;Storica Attività;VIA VALLAZZE,34;Pangroup sas;Il Punto Pane ...e non solo quello;1944;9.223390979095853;45.48402359213832;(45.48402359213832, 9.223390979095853)
7467;Storica Attività;PIAZZA MENTANA,7;MEREGHETTI ALBERTO;FERRAMENTA MEREGHETTI;1930;9.18158962882575;45.46194211798338;(45.46194211798338, 9.18158962882575)
7200;Storica Attività;VIA MONTENAPOLEONE,8;Red and Blue S.R.L.;Red and Blue;1948;9.194889099945405;45.46851660000046;(45.46851660000046, 9.194889099945405)
6348;Storica Attività;VIA PAVIA,1;ditta individuale;Farmacia San Gottardo Dott.ssa Bianchini Clara Maria;1886;9.179378994583436;45.4471648528569;(45.4471648528569, 9.179378994583436)
6442;Storica Attività;VIA ANNIBALE CARETTA,2;Valigeria Canevari snc;Valigeria Canevari;1930;9.215819879405059;45.48500217195767;(45.48500217195767, 9.215819879405059)
6332;Storica Attività;LARGO SETTIMIO SEVERO,1;DE MOLFETTA MASSIMO ALBERTO;De Molfetta;1938;9.162292596184216;45.46612975211472;(45.46612975211472, 9.162292596184216)
6354;Storica Attività;P.ZZA CINQUE GIORNATE,6;ditta individuale;Frigerio Gomme;1923;9.207012056804013;45.46135645324011;(45.46135645324011, 9.207012056804013)
6237;Locale storico;CORSO DI PORTA ROMANA,2;Galli Giovanni S.n.c.;Giovanni Galli - Pasticceria;1911;9.188946062222321;45.46002600095591;(45.46002600095591, 9.188946062222321)
6371;Storica Attività;VIA DELLA SPIGA,52;G. Preattoni di Lorenzo Preattoni & C. S.a.s.;G. Preattoni;1946;9.194971862937793;45.471813203763034;(45.471813203763034, 9.194971862937793)
7235;Storica Attività;VIA GIUSEPPE GIUSTI,14;Trattoria La Veneta di Pauletto Giovanni;La Veneta;1938;9.177230445711057;45.480255811786975;(45.480255811786975, 9.177230445711057)
6438;Storica Attività;VIA PADOVA,344;Novelli Giuseppe e Carla snc;Trattoria Novelli;1927;9.254360378221996;45.51111797149605;(45.51111797149605, 9.254360378221996)
6201;Negozio storico;PIAZZA SAN FEDELE,2;F. Pettinaroli di Giorgio e Francesco Pettinaroli & C. S.a.s.;F. Pettinaroli;1881;9.19108808160497;45.46615794013578;(45.46615794013578, 9.19108808160497)
6412;Negozio storico;VIA HUGO VICTOR,3;Pescheria Spadari srl;Premiata Pescheria Spadari;1933;9.187246806092785;45.46347919190598;(45.46347919190598, 9.187246806092785)
